"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","SSC-A_Gain","SSC-H_Gain","FSC-A","FSC-H","SSC-A","SSC-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","R670-A_Gain","R730-A_Gain","R780-A_Gain","B530-A_Gain","B710-A_Gain","V450-A_Gain","V525-A_Gain","V610-A_Gain","V670-A_Gain","Y590-A_Gain","Y615-A_Gain","Y710-A_Gain","Y780-A_Gain","R670-A","R730-A","R780-A","B530-A","B710-A","V450-A","V525-A","V610-A","V670-A","Y590-A","Y615-A","Y710-A","Y780-A","FSC-W_Gain","SSC-W_Gain","R670-H_Gain","R730-H_Gain","R780-H_Gain","B530-H_Gain","B710-H_Gain","V450-H_Gain","V525-H_Gain","V610-H_Gain","V670-H_Gain","Y590-H_Gain","Y615-H_Gain","Y710-H_Gain","Y780-H_Gain","FSC-W","SSC-W","R670-H","R730-H","R780-H","B530-H","B710-H","V450-H","V525-H","V610-H","V670-H","Y590-H","Y615-H","Y710-H","Y780-H","Time_Gain"
"23-DEC-2021",2021-12-23 09:00:42,"2021-12-23","9H 0M 42S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,32640.66015625,66648.84375,78660,66088.015625,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9328.689453125,6588.7998046875,7148.27978515625,11064,11295.2001953125,9190.7998046875,10176.48046875,8542.560546875,11442.990234375,17604.630859375,7980.80029296875,10201.75,9539.98046875,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,32108,77841,9737,6927,7577,10880,11092,9145,10361,8521,9414,17376,7888,10008,9403,NA
"23-DEC-2021",2021-12-23 08:57:42,"2021-12-23","8H 57M 42S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,32608.1005859375,66521.90234375,77610.3984375,65533.998046875,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,8407.8193359375,6014.7646484375,6553.65478515625,10984,11174.8002929688,8873.33984375,9885.66015625,8266.72509765625,10652.115234375,14297.9306640625,6485.90502929688,8187.84497070312,7715.490234375,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,32108.5,77477.5,9748,6906.5,7547,10913,11112.5,9132,10313.5,8512,9400,17320.5,7866.5,10013,9377,NA
"22-DEC-2021",2021-12-22 08:47:18,"2021-12-22","8H 47M 18S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,31618.3505859375,66327.07421875,78336.40234375,65741.453125,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9352.830078125,6580.27978515625,7115.974609375,11029.2001953125,11315.2001953125,9186.3603515625,10120.98046875,8574.75,11415.240234375,17682.4609375,7987.46508789062,10263.8852539062,9681.88037109375,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31230,78186,9788,6938,7551,10923.5,11146.5,9187.5,10371,8634.5,9387,17341.5,7850.5,10016,9482.5,NA
"22-DEC-2021",2021-12-22 08:45:49,"2021-12-22","8H 45M 49S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,31655.720703125,66269.2265625,77222.40234375,65155.203125,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,8062.759765625,5561.4296875,6219.95458984375,10952.7998046875,11160.3999023438,8907.19482421875,9978.900390625,8337.2099609375,10656,14169.5751953125,6301.86499023438,7950.91528320312,7711.18994140625,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31294.5,77771,9756,6914,7550,10945,11161,9199,10455,8617,9383,17329,7853,10014,9476,NA
"21-DEC-2021",2021-12-21 08:09:26,"2021-12-21","8H 9M 26S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,31777.8203125,66360.84375,78688.8046875,65695.1953125,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9524.6494140625,6855.759765625,7437.25,11156.7998046875,11483.2001953125,9193.0205078125,10173.150390625,8652.4501953125,11447.4296875,17884.990234375,8099.47998046875,10571.98046875,10066.2998046875,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31398,78589,9881,7169,7822,11054,11330,9160,10366,8679,9430,17504,7945,10295,9840,NA
"21-DEC-2021",2021-12-21 08:07:57,"2021-12-21","8H 7M 57S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,31756.361328125,66158.0625,77320.8046875,65052.4140625,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,8322.6201171875,5878.08984375,6404.90966796875,11027.2001953125,11276.7998046875,8862.240234375,9924.509765625,8368.2900390625,10623.810546875,14302.66015625,6372.60009765625,8197.9501953125,7874.16015625,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31504,77966,9837,7150,7804,11062,11329,9149,10371,8654,9426,17425,7905,10261,9813,NA
"20-DEC-2021",2021-12-20 15:45:52,"2021-12-20","15H 45M 52S","Unknown","LSRII","1","Administrator",570,570,260,260,32114.8896484375,67330.28515625,80330.80078125,66979.26953125,61.11,0,20.66,40.87,0.71,0.8,1.11,0.43,467,473,408,518,532,491,439,554,461,688,664,597,489,9500.509765625,6849.0146484375,7465.64990234375,11292.7998046875,11654.0004882812,9393.9296875,10254.1796875,8719.0498046875,11652.7802734375,18036.99609375,8128.72021484375,10679.0502929688,10111.4501953125,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31290.5,78767.5,9796.5,7124.5,7830,10961,11303.5,9315,10398,8691,9492,17590.5,7913,10324,9806,NA
"20-DEC-2021",2021-12-20 15:43:35,"2021-12-20","15H 43M 35S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,32072.33984375,67270.8203125,79685.6015625,66482.328125,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9129.8896484375,6563.23974609375,7158.2197265625,11192,11555.2001953125,9111.990234375,10038.83984375,8518.1396484375,10971.240234375,15374.650390625,6961.7001953125,9036.8798828125,8621.5,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,31243,78684,9843,7131,7811,10992,11335,9335,10436,8751,9515,17536,7939,10317,9848,NA
"16-DEC-2021",2021-12-16 08:23:14,"2021-12-16","8H 23M 14S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,45244.33984375,65890.46875,73154.3984375,64545.171875,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9893.1396484375,7290.98974609375,8231.740234375,10125.6005859375,10548.7998046875,9143.0703125,9992.2197265625,8383.830078125,11278.7099609375,17126.900390625,7452.76025390625,10618.419921875,10221.5302734375,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,45060,74048,9680,7203,8179,10186,10598,8923,9947,8133,8887,16932,7369,10432,10067,NA
"16-DEC-2021",2021-12-16 08:22:15,"2021-12-16","8H 22M 15S","Unknown","2.16.0","Unknown","Unknown",570,570,260,260,44133.970703125,64283.287109375,70299.203125,62182.076171875,NA,NA,NA,NA,NA,NA,NA,NA,467,473,408,518,532,491,439,554,461,688,664,597,489,9062.439453125,6657.669921875,7548.7197265625,9732.7998046875,10121.6005859375,8662.4404296875,9583.740234375,7908.75,10069.919921875,12943.4306640625,5661.38012695312,7949.41015625,7692.48510742188,570,260,467,473,408,518,532,491,439,554,461,688,664,597,489,45048,73922,9711,7191,8175,10210,10559,8914,9952,8126,8880,16916,7373,10444.5,10057,NA
