"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor","Time_Gain"
"21-DEC-2017",2017-12-21 09:48:57,"2017-12-21","9H 48M 57S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,79327.20703125,NA,NA,114305.3671875,NA,NA,591.679992675781,NA,191.349998474121,NA,162.970008850098,NA,357.584991455078,NA,204.600006103516,NA,507.779998779297,NA,362.235000610352,NA,378.045013427734,NA,290.625,NA,341,NA,411.25,NA,196,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-DEC-2017",2017-12-20 08:48:53,"2017-12-20","8H 48M 53S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,79906.94921875,NA,NA,114345.359375,NA,NA,604.580017089844,NA,198.660003662109,NA,166.839996337891,NA,358.049987792969,NA,198.089996337891,NA,530.099975585938,NA,376.649993896484,NA,353.399993896484,NA,280.860015869141,NA,334.25,NA,426.5,NA,191.5,NA,130.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2017",2017-12-19 08:35:41,"2017-12-19","8H 35M 41S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,78042.6796875,NA,NA,112083.13671875,NA,NA,578.780029296875,NA,190.919998168945,NA,156.520004272461,NA,345.029998779297,NA,188.790008544922,NA,510.570007324219,NA,363.630004882812,NA,334.799987792969,NA,271.559997558594,NA,313.5,NA,392,NA,182.5,NA,122.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2017",2017-12-18 09:36:47,"2017-12-18","9H 36M 47S","Unknown","LSRII","1","Administrator",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,72900.87109375,NA,NA,109451.23828125,NA,NA,492.779998779297,NA,124.700004577637,NA,113.520004272461,NA,245.985000610352,NA,123.225002288818,NA,449.190002441406,NA,318.059997558594,NA,279.464996337891,NA,179.955001831055,NA,220.25,NA,266.5,NA,119.75,NA,84,NA,59.73,0,20.42,39.51,0.86,0.93,0.93,0.5,NA
"15-DEC-2017",2017-12-15 14:49:25,"2017-12-15","14H 49M 25S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,81363.6796875,NA,NA,112814.578125,NA,NA,598.559997558594,NA,211.559997558594,NA,185.760009765625,NA,365.489990234375,NA,214.830001831055,NA,524.52001953125,NA,384.089996337891,NA,360.839996337891,NA,313.410003662109,NA,355,NA,443,NA,202.5,NA,140.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14-DEC-2017",2017-12-14 08:22:13,"2017-12-14","8H 22M 13S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,98245.5,NA,NA,115234.4375,NA,NA,623.5,NA,210.699996948242,NA,175.440002441406,NA,366.420013427734,NA,211.110000610352,NA,524.52001953125,NA,375.720001220703,NA,366.420013427734,NA,308.295013427734,NA,346.75,NA,438,NA,202.5,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2017",2017-12-13 09:17:04,"2017-12-13","9H 17M 4S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,81022.55859375,NA,NA,114841.984375,NA,NA,629.090026855469,NA,208.980010986328,NA,174.580001831055,NA,365.489990234375,NA,216.690002441406,NA,528.239990234375,NA,379.440002441406,NA,365.489990234375,NA,302.25,NA,357,NA,450,NA,207,NA,143.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2017",2017-12-12 09:02:27,"2017-12-12","9H 2M 27S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,80250.52734375,NA,NA,114823.84765625,NA,NA,639.840026855469,NA,214.139999389648,NA,184.900009155273,NA,374.790008544922,NA,222.270004272461,NA,532.890014648438,NA,384.089996337891,NA,369.209991455078,NA,316.200012207031,NA,366.5,NA,462.75,NA,212.5,NA,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2017",2017-12-11 09:04:43,"2017-12-11","9H 4M 43S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,82719.9609375,NA,NA,118766.11328125,NA,NA,649.299987792969,NA,218.440002441406,NA,187.479995727539,NA,380.369995117188,NA,217.619995117188,NA,546.840026855469,NA,393.390014648438,NA,394.320007324219,NA,306.899993896484,NA,358,NA,425,NA,209,NA,144.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08-DEC-2017",2017-12-08 09:21:08,"2017-12-08","9H 21M 8S","Unknown","2.16.0","Unknown","Unknown",610,NA,NA,260,NA,NA,450,NA,464,NA,390,NA,466,NA,471,NA,420,NA,388,NA,500,NA,406,NA,625,NA,641,NA,525,NA,400,NA,76139.4609375,NA,NA,111014.56640625,NA,NA,582.220031738281,NA,188.339996337891,NA,153.080001831055,NA,333.869995117188,NA,178.559997558594,NA,504.059997558594,NA,356.190002441406,NA,332.010009765625,NA,252.029998779297,NA,299.5,NA,371.5,NA,173,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
